NO;ULASAN;TANGGAL;LABEL;case_folding;remove_puctuation;tokenize;stemming;stopwords;empty_token
11;Makanan enak, harga terjangkau, tempat nyaman, wifi tersedia.musala ada.buat pacaran atau keluarga bisa banget.udah langganan di sini semenjak tahun 2009 dari harga 7500. kurangnya 1, parkir susah kalau lagi penuh;8 bulan lalu;0;makanan enak, harga terjangkau, tempat nyaman, wifi tersedia.musala ada.buat pacaran atau keluarga bisa banget.udah langganan di sini semenjak tahun 2009 dari harga 7500. kurangnya 1, parkir susah kalau lagi penuh;makanan enak  harga terjangkau  tempat nyaman  wifi tersedia musala ada buat pacaran atau keluarga bisa banget udah langganan di sini semenjak tahun  dari harga   kurangnya   parkir susah kalau lagi penuh;['makanan', 'enak', 'harga', 'terjangkau', 'tempat', 'nyaman', 'wifi', 'tersedia', 'musala', 'ada', 'buat', 'pacaran', 'atau', 'keluarga', 'bisa', 'banget', 'udah', 'langganan', 'di', 'sini', 'semenjak', 'tahun', 'dari', 'harga', 'kurangnya', 'parkir', 'susah', 'kalau', 'lagi', 'penuh'];['makan', 'enak', 'harga', 'jangkau', 'tempat', 'nyaman', 'wifi', 'sedia', 'musala', 'ada', 'buat', 'pacar', 'atau', 'keluarga', 'bisa', 'banget', 'udah', 'langgan', 'di', 'sini', 'semenjak', 'tahun', 'dari', 'harga', 'kurang', 'parkir', 'susah', 'kalau', 'lagi', 'penuh'];['makan', 'enak', 'harga', 'jangkau', 'tempat', 'nyaman', 'wifi', 'sedia', 'musala', '', 'buat', 'pacar', '', 'keluarga', '', 'banget', 'udah', 'langgan', '', 'sini', 'semenjak', 'tahun', '', 'harga', 'kurang', 'parkir', 'susah', 'kalau', '', 'penuh'];makan enak harga jangkau tempat nyaman wifi sedia musala buat pacar keluarga banget udah langgan sini semenjak tahun harga kurang parkir susah kalau penuh
12;Nikmat dan lezat. Nyaman buat bersantai juga.;2 bulan lalu;0;nikmat dan lezat. nyaman buat bersantai juga.;nikmat dan lezat  nyaman buat bersantai juga ;['nikmat', 'dan', 'lezat', 'nyaman', 'buat', 'bersantai', 'juga'];['nikmat', 'dan', 'lezat', 'nyaman', 'buat', 'santa', 'juga'];['nikmat', '', 'lezat', 'nyaman', 'buat', 'santa', ''];nikmat lezat nyaman buat santa
13;Agak keras, asin, terlalu kering, kurang setimpal;sebulan yang lalu;1;agak keras, asin, terlalu kering, kurang setimpal;agak keras  asin  terlalu kering  kurang setimpal;['agak', 'keras', 'asin', 'terlalu', 'kering', 'kurang', 'setimpal'];['agak', 'keras', 'asin', 'terlalu', 'kering', 'kurang', 'timpal'];['', 'keras', 'asin', 'terlalu', 'kering', 'kurang', 'timpal'];keras asin terlalu kering kurang timpal
14;selalu ingin makan steak crispy disini;sebulan yang lalu;0;selalu ingin makan steak crispy disini;selalu ingin makan steak crispy disini;['selalu', 'ingin', 'makan', 'steak', 'crispy', 'disini'];['selalu', 'ingin', 'makan', 'steak', 'crispy', 'sini'];['selalu', '', 'makan', 'steak', 'crispy', 'sini'];selalu makan steak crispy sini
15;steak favorit  di Cirebon . Selain makanannya enak, lokasinya  nyaman juga harga pastinya bersahabat kantong pelajar . Lokasi luas dengan dua lantai. Ada lesehan juga yang pakai kursi juga ada. Kolam dan taman juga mempercantik tempat makan yang sederhana ini . Fasilitas Musala toilet wastafel Area makan lesehan Area makan kursi Area parkir dan  disediakan juru parkir  Cocok untuk kumpul bareng teman-teman. Tetapi siap siap menahan lapar kalau tempat ini penuh. Karena mengantre Masya Allah. Sarannya itu musala agak diperluas ya ...  Terima kasih;7 bulan lalu;0;steak favorit  di cirebon . selain makanannya enak, lokasinya  nyaman juga harga pastinya bersahabat kantong pelajar . lokasi luas dengan dua lantai. ada lesehan juga yang pakai kursi juga ada. kolam dan taman juga mempercantik tempat makan yang sederhana ini . fasilitas musala toilet wastafel area makan lesehan area makan kursi area parkir dan  disediakan juru parkir  cocok untuk kumpul bareng teman-teman. tetapi siap siap menahan lapar kalau tempat ini penuh. karena mengantre masya allah. sarannya itu musala agak diperluas ya ...  terima kasih;steak favorit  di cirebon   selain makanannya enak  lokasinya  nyaman juga harga pastinya bersahabat kantong pelajar   lokasi luas dengan dua lantai  ada lesehan juga yang pakai kursi juga ada  kolam dan taman juga mempercantik tempat makan yang sederhana ini   fasilitas musala toilet wastafel area makan lesehan area makan kursi area parkir dan  disediakan juru parkir  cocok untuk kumpul bareng teman teman  tetapi siap siap menahan lapar kalau tempat ini penuh  karena mengantre masya allah  sarannya itu musala agak diperluas ya      terima kasih;['steak', 'favorit', 'di', 'cirebon', 'selain', 'makanannya', 'enak', 'lokasinya', 'nyaman', 'juga', 'harga', 'pastinya', 'bersahabat', 'kantong', 'pelajar', 'lokasi', 'luas', 'dengan', 'dua', 'lantai', 'ada', 'lesehan', 'juga', 'yang', 'pakai', 'kursi', 'juga', 'ada', 'kolam', 'dan', 'taman', 'juga', 'mempercantik', 'tempat', 'makan', 'yang', 'sederhana', 'ini', 'fasilitas', 'musala', 'toilet', 'wastafel', 'area', 'makan', 'lesehan', 'area', 'makan', 'kursi', 'area', 'parkir', 'dan', 'disediakan', 'juru', 'parkir', 'cocok', 'untuk', 'kumpul', 'bareng', 'teman', 'teman', 'tetapi', 'siap', 'siap', 'menahan', 'lapar', 'kalau', 'tempat', 'ini', 'penuh', 'karena', 'mengantre', 'masya', 'allah', 'sarannya', 'itu', 'musala', 'agak', 'diperluas', 'ya', 'terima', 'kasih'];['steak', 'favorit', 'di', 'cirebon', 'selain', 'makan', 'enak', 'lokasi', 'nyaman', 'juga', 'harga', 'pasti', 'sahabat', 'kantong', 'ajar', 'lokasi', 'luas', 'dengan', 'dua', 'lantai', 'ada', 'leseh', 'juga', 'yang', 'pakai', 'kursi', 'juga', 'ada', 'kolam', 'dan', 'taman', 'juga', 'cantik', 'tempat', 'makan', 'yang', 'sederhana', 'ini', 'fasilitas', 'musala', 'toilet', 'wastafel', 'area', 'makan', 'leseh', 'area', 'makan', 'kursi', 'area', 'parkir', 'dan', 'sedia', 'juru', 'parkir', 'cocok', 'untuk', 'kumpul', 'bareng', 'teman', 'teman', 'tetapi', 'siap', 'siap', 'tahan', 'lapar', 'kalau', 'tempat', 'ini', 'penuh', 'karena', 'antre', 'masya', 'allah', 'saran', 'itu', 'musala', 'agak', 'luas', 'ya', 'terima', 'kasih'];['steak', 'favorit', '', 'cirebon', '', 'makan', 'enak', 'lokasi', 'nyaman', '', 'harga', '', 'sahabat', 'kantong', 'ajar', 'lokasi', 'luas', '', '', 'lantai', '', 'leseh', '', '', 'pakai', 'kursi', '', '', 'kolam', '', 'taman', '', 'cantik', 'tempat', 'makan', '', 'sederhana', '', 'fasilitas', 'musala', 'toilet', 'wastafel', 'area', 'makan', 'leseh', 'area', 'makan', 'kursi', 'area', 'parkir', '', 'sedia', 'juru', 'parkir', 'cocok', '', 'kumpul', 'bareng', 'teman', 'teman', '', 'siap', 'siap', 'tahan', 'lapar', 'kalau', 'tempat', '', 'penuh', '', 'antre', 'masya', 'allah', 'saran', '', 'musala', '', 'luas', '', 'terima', 'kasih'];steak favorit cirebon makan enak lokasi nyaman harga sahabat kantong ajar lokasi luas lantai leseh pakai kursi kolam taman cantik tempat makan sederhana fasilitas musala toilet wastafel area makan leseh area makan kursi area parkir sedia juru parkir cocok kumpul bareng teman teman siap siap tahan lapar kalau tempat penuh antre masya allah saran musala luas terima kasih
16;steak yang murah, menu yang beragam dari ayam dan daging sapi, tempat yang luas (dalam ruangan atau luar ruangan) parkiran yang oke, ditengah kota cirebon, mudah ditemukan, rasa yang pas dengan lidah orang Indonesia, tidak berlebihan rasanya...;6 bulan lalu;0;steak yang murah, menu yang beragam dari ayam dan daging sapi, tempat yang luas (dalam ruangan atau luar ruangan) parkiran yang oke, ditengah kota cirebon, mudah ditemukan, rasa yang pas dengan lidah orang indonesia, tidak berlebihan rasanya...;steak yang murah  menu yang beragam dari ayam dan daging sapi  tempat yang luas  dalam ruangan atau luar ruangan  parkiran yang oke  ditengah kota cirebon  mudah ditemukan  rasa yang pas dengan lidah orang indonesia  tidak berlebihan rasanya   ;['steak', 'yang', 'murah', 'menu', 'yang', 'beragam', 'dari', 'ayam', 'dan', 'daging', 'sapi', 'tempat', 'yang', 'luas', 'dalam', 'ruangan', 'atau', 'luar', 'ruangan', 'parkiran', 'yang', 'oke', 'ditengah', 'kota', 'cirebon', 'mudah', 'ditemukan', 'rasa', 'yang', 'pas', 'dengan', 'lidah', 'orang', 'indonesia', 'tidak', 'berlebihan', 'rasanya'];['steak', 'yang', 'murah', 'menu', 'yang', 'agam', 'dari', 'ayam', 'dan', 'daging', 'sapi', 'tempat', 'yang', 'luas', 'dalam', 'ruang', 'atau', 'luar', 'ruang', 'parkir', 'yang', 'oke', 'tengah', 'kota', 'cirebon', 'mudah', 'temu', 'rasa', 'yang', 'pas', 'dengan', 'lidah', 'orang', 'indonesia', 'tidak', 'lebih', 'rasa'];['steak', '', 'murah', 'menu', '', 'agam', '', 'ayam', '', 'daging', 'sapi', 'tempat', '', 'luas', '', 'ruang', '', 'luar', 'ruang', 'parkir', '', 'oke', 'tengah', 'kota', 'cirebon', 'mudah', 'temu', 'rasa', '', 'pas', '', 'lidah', 'orang', 'indonesia', 'tidak', 'lebih', 'rasa'];steak murah menu agam ayam daging sapi tempat luas ruang luar ruang parkir oke tengah kota cirebon mudah temu rasa pas lidah orang indonesia tidak lebih rasa
17;Kuahnya kurang kental untuk rasa enak;2 minggu yang lalu;1;kuahnya kurang kental untuk rasa enak;kuahnya kurang kental untuk rasa enak;['kuahnya', 'kurang', 'kental', 'untuk', 'rasa', 'enak'];['kuah', 'kurang', 'kental', 'untuk', 'rasa', 'enak'];['kuah', 'kurang', 'kental', '', 'rasa', 'enak'];kuah kurang kental rasa enak
18;Tempatnya cukup nyaman & makanannya enak. Harganya cukup di kantong;3 bulan lalu;0;tempatnya cukup nyaman & makanannya enak. harganya cukup di kantong;tempatnya cukup nyaman   makanannya enak  harganya cukup di kantong;['tempatnya', 'cukup', 'nyaman', 'makanannya', 'enak', 'harganya', 'cukup', 'di', 'kantong'];['tempat', 'cukup', 'nyaman', 'makan', 'enak', 'harga', 'cukup', 'di', 'kantong'];['tempat', 'cukup', 'nyaman', 'makan', 'enak', 'harga', 'cukup', '', 'kantong'];tempat cukup nyaman makan enak harga cukup kantong
19;Tempatnya nyaman untuk makan sambil mengobrol bareng,  tersedia Wifi gratis,  dan menunya enak dan harganya relatif terjangkau;6 bulan lalu;0;tempatnya nyaman untuk makan sambil mengobrol bareng,  tersedia wifi gratis,  dan menunya enak dan harganya relatif terjangkau;tempatnya nyaman untuk makan sambil mengobrol bareng   tersedia wifi gratis   dan menunya enak dan harganya relatif terjangkau;['tempatnya', 'nyaman', 'untuk', 'makan', 'sambil', 'mengobrol', 'bareng', 'tersedia', 'wifi', 'gratis', 'dan', 'menunya', 'enak', 'dan', 'harganya', 'relatif', 'terjangkau'];['tempat', 'nyaman', 'untuk', 'makan', 'sambil', 'obrol', 'bareng', 'sedia', 'wifi', 'gratis', 'dan', 'menu', 'enak', 'dan', 'harga', 'relatif', 'jangkau'];['tempat', 'nyaman', '', 'makan', '', 'obrol', 'bareng', 'sedia', 'wifi', 'gratis', '', 'menu', 'enak', '', 'harga', 'relatif', 'jangkau'];tempat nyaman makan obrol bareng sedia wifi gratis menu enak harga relatif jangkau
20;Enak dan murah;2 bulan lalu;0;enak dan murah;enak dan murah;['enak', 'dan', 'murah'];['enak', 'dan', 'murah'];['enak', '', 'murah'];enak murah
21;Enak dan murah, yang ingin steak tapi tidak bikin kantong bolong disini tempatnya;9 bulan lalu;0;enak dan murah, yang ingin steak tapi tidak bikin kantong bolong disini tempatnya;enak dan murah  yang ingin steak tapi tidak bikin kantong bolong disini tempatnya;['enak', 'dan', 'murah', 'yang', 'ingin', 'steak', 'tapi', 'tidak', 'bikin', 'kantong', 'bolong', 'disini', 'tempatnya'];['enak', 'dan', 'murah', 'yang', 'ingin', 'steak', 'tapi', 'tidak', 'bikin', 'kantong', 'bolong', 'sini', 'tempat'];['enak', '', 'murah', '', '', 'steak', '', 'tidak', 'bikin', 'kantong', 'bolong', 'sini', 'tempat'];enak murah steak tidak bikin kantong bolong sini tempat
22;Saya dan keluarga suka sekali makan dan minum di tempat ini, pokoknya setiap ada kesempatan kumpul pasti makan bersama di Al-Ghiff tempat yang kami pilih. Menunya tidak terlalu banyak hanya beberapa macam steak dengan piring saji yang unik dan beberapa jenis minuman segar, seperti jus, es Milo, Tempatnya memang tidak terlalu luas, namun cukup santai dan nyaman itulah yang membuat kami 'betah' disana,;setahun yang lalu;0;saya dan keluarga suka sekali makan dan minum di tempat ini, pokoknya setiap ada kesempatan kumpul pasti makan bersama di al-ghiff tempat yang kami pilih. menunya tidak terlalu banyak hanya beberapa macam steak dengan piring saji yang unik dan beberapa jenis minuman segar, seperti jus, es milo, tempatnya memang tidak terlalu luas, namun cukup santai dan nyaman itulah yang membuat kami 'betah' disana,;saya dan keluarga suka sekali makan dan minum di tempat ini  pokoknya setiap ada kesempatan kumpul pasti makan bersama di al ghiff tempat yang kami pilih  menunya tidak terlalu banyak hanya beberapa macam steak dengan piring saji yang unik dan beberapa jenis minuman segar  seperti jus  es milo  tempatnya memang tidak terlalu luas  namun cukup santai dan nyaman itulah yang membuat kami  betah  disana ;['saya', 'dan', 'keluarga', 'suka', 'sekali', 'makan', 'dan', 'minum', 'di', 'tempat', 'ini', 'pokoknya', 'setiap', 'ada', 'kesempatan', 'kumpul', 'pasti', 'makan', 'bersama', 'di', 'al', 'ghiff', 'tempat', 'yang', 'kami', 'pilih', 'menunya', 'tidak', 'terlalu', 'banyak', 'hanya', 'beberapa', 'macam', 'steak', 'dengan', 'piring', 'saji', 'yang', 'unik', 'dan', 'beberapa', 'jenis', 'minuman', 'segar', 'seperti', 'jus', 'es', 'milo', 'tempatnya', 'memang', 'tidak', 'terlalu', 'luas', 'namun', 'cukup', 'santai', 'dan', 'nyaman', 'itulah', 'yang', 'membuat', 'kami', 'betah', 'disana'];['saya', 'dan', 'keluarga', 'suka', 'sekali', 'makan', 'dan', 'minum', 'di', 'tempat', 'ini', 'pokok', 'tiap', 'ada', 'sempat', 'kumpul', 'pasti', 'makan', 'sama', 'di', 'al', 'ghiff', 'tempat', 'yang', 'kami', 'pilih', 'menu', 'tidak', 'terlalu', 'banyak', 'hanya', 'beberapa', 'macam', 'steak', 'dengan', 'piring', 'saji', 'yang', 'unik', 'dan', 'beberapa', 'jenis', 'minum', 'segar', 'seperti', 'jus', 'es', 'milo', 'tempat', 'memang', 'tidak', 'terlalu', 'luas', 'namun', 'cukup', 'santai', 'dan', 'nyaman', 'itu', 'yang', 'buat', 'kami', 'betah', 'sana'];['', '', 'keluarga', 'suka', 'sekali', 'makan', '', 'minum', '', 'tempat', '', 'pokok', 'tiap', '', 'sempat', 'kumpul', '', 'makan', 'sama', '', 'al', 'ghiff', 'tempat', '', '', 'pilih', 'menu', 'tidak', 'terlalu', 'banyak', '', 'beberapa', 'macam', 'steak', '', 'piring', 'saji', '', 'unik', '', 'beberapa', 'jenis', 'minum', 'segar', '', 'jus', 'es', 'milo', 'tempat', 'memang', 'tidak', 'terlalu', 'luas', '', 'cukup', 'santai', '', 'nyaman', '', '', 'buat', '', 'betah', 'sana'];keluarga suka sekali makan minum tempat pokok tiap sempat kumpul makan sama al ghiff tempat pilih menu tidak terlalu banyak beberapa macam steak piring saji unik beberapa jenis minum segar jus es milo tempat memang tidak terlalu luas cukup santai nyaman buat betah sana
